Node no.,X,Y,Z
1,-1.77959,4.29379,-16.1453
2,-1.69607,3.08363,-16.7197
3,-1.73809,3.14848,-16.6441
4,-1.77629,4.23633,-16.1348
5,-1.7075,4.27816,-16.1488
6,-1.6938,4.34395,-16.1566
7,-1.79135,4.11591,-16.1161
8,-1.7412,4.03546,-16.1299
9,-1.8408,4.18301,-16.1103
10,-1.87486,4.11876,-16.0925
11,-1.86675,4.2392,-16.1159
12,-1.78325,3.96413,-16.1244
13,-1.82041,4.04677,-16.1055
14,-1.88654,4.05023,-16.0816
15,-1.92506,3.1874,-16.497
16,-1.99172,3.15944,-16.4588
17,-1.87121,3.1687,-16.5526
18,-1.81159,3.14601,-16.6067
19,-1.7775,3.06219,-16.693
20,-1.72065,3.00788,-16.7676
21,-1.65986,3.161,-16.6731
22,-1.61564,3.10621,-16.7425
23,-1.64055,3.0329,-16.7919
24,-1.66252,2.95958,-16.8379
25,-1.82449,3.273,-16.4983
26,-1.7627,3.24234,-16.556
27,-1.69046,3.23066,-16.6006
28,-1.6541,4.25583,-16.1455
29,-1.69966,4.22119,-16.1409
30,-1.75047,4.17781,-16.1299
31,-1.6382,4.31333,-16.1508
32,-1.60877,4.39022,-16.1479
33,-1.70595,4.10325,-16.135
34,-1.6554,4.01735,-16.1507
35,-1.8374,3.71599,-16.1851
36,-1.81516,3.62868,-16.2444
37,-1.70816,3.95203,-16.1512
38,-1.79533,3.80005,-16.1684
39,-1.75221,3.8789,-16.1574
40,-1.93493,4.05328,-16.0564
41,-1.94491,4.105,-16.0586
42,-1.95063,4.18304,-16.0699
43,-1.8797,3.62443,-16.2045
44,-1.82794,3.88731,-16.1204
45,-1.85566,3.9724,-16.093
46,-1.86469,3.80385,-16.1294
47,-1.89408,3.71285,-16.1503
48,-1.92635,3.99726,-16.0562
49,-1.78792,3.5272,-16.3261
50,-1.83849,3.41413,-16.3785
51,-1.8847,3.30314,-16.4326
52,-1.94916,3.26463,-16.4075
53,-1.8612,3.53088,-16.2758
54,-2.02007,3.2073,-16.3842
55,-2.08022,3.08725,-16.4283
56,-1.97743,3.10071,-16.524
57,-2.05047,3.04719,-16.4982
58,-1.93092,3.08051,-16.5797
59,-1.86577,3.0422,-16.6557
60,-1.80231,2.98059,-16.7413
61,-1.74186,2.93076,-16.8117
62,-1.69236,2.87882,-16.8767
63,-1.64158,2.83677,-16.9382
64,-1.57976,2.81189,-17.0
65,-1.51174,2.79967,-17.0632
66,-1.61134,2.91747,-16.9005
67,-1.60981,3.23214,-16.6369
