Triangle no.,Vertex 1,Vertex 2,Vertex 3
1,1794.0,1790.0,1789.0
2,1794.0,1977.0,1793.0
3,1791.0,1790.0,1793.0
4,1793.0,1790.0,1794.0
5,1792.0,1947.0,1975.0
6,2161.0,1974.0,1975.0
7,1792.0,1974.0,1791.0
8,1975.0,1974.0,1792.0
9,1789.0,1790.0,1973.0
10,1791.0,1974.0,1790.0
11,1973.0,1974.0,2161.0
12,1790.0,1974.0,1973.0
13,1616.0,1615.0,1795.0
14,1793.0,1615.0,1791.0
15,1793.0,1977.0,1795.0
16,1795.0,1615.0,1793.0
17,1763.0,1947.0,1792.0
18,1791.0,1615.0,1792.0
19,1763.0,1615.0,1616.0
20,1792.0,1615.0,1763.0
21,1973.0,1972.0,1789.0
22,2161.0,2160.0,1973.0
23,1972.0,2160.0,2158.0
24,1973.0,2160.0,1972.0
25,2343.0,2529.0,2345.0
26,2158.0,2160.0,2343.0
27,2343.0,2160.0,2349.0
28,2343.0,2345.0,2158.0
29,1982.0,2156.0,2157.0
30,1982.0,1983.0,1971.0
31,2158.0,2156.0,1971.0
32,1971.0,2156.0,1982.0
33,1789.0,1972.0,1798.0
34,1971.0,1972.0,2158.0
35,1971.0,1983.0,1798.0
36,1798.0,1972.0,1971.0
37,2344.0,2159.0,2157.0
38,2344.0,2156.0,2158.0
39,2346.0,2159.0,2344.0
40,2157.0,2156.0,2344.0
41,2531.0,2530.0,2345.0
42,2344.0,2530.0,2346.0
43,2158.0,2345.0,2344.0
44,2345.0,2530.0,2344.0
45,1798.0,1794.0,1789.0
46,1798.0,1983.0,1976.0
47,1976.0,1977.0,1794.0
48,1976.0,1794.0,1798.0
49,1946.0,1947.0,1763.0
50,1616.0,1762.0,1763.0
51,1946.0,1762.0,1945.0
52,1763.0,1762.0,1946.0
53,2324.0,2322.0,2135.0
54,2132.0,2322.0,2321.0
55,2132.0,1947.0,2135.0
56,2135.0,2322.0,2132.0
57,2135.0,1947.0,1946.0
58,1945.0,2134.0,1946.0
59,2135.0,2134.0,2324.0
60,1946.0,2134.0,2135.0
61,1975.0,2162.0,2161.0
62,1975.0,1947.0,2132.0
63,2321.0,2162.0,2132.0
64,2132.0,2162.0,1975.0
65,2161.0,2162.0,2349.0
66,2350.0,2162.0,2321.0
67,2350.0,2537.0,2349.0
68,2349.0,2162.0,2350.0
69,2539.0,2351.0,2540.0
70,2539.0,2537.0,2350.0
71,2321.0,2351.0,2350.0
72,2350.0,2351.0,2539.0
73,2540.0,2732.0,2539.0
74,2732.0,2725.0,2538.0
75,2732.0,2537.0,2539.0
76,2538.0,2537.0,2732.0
77,2725.0,2726.0,2538.0
78,2529.0,2726.0,2531.0
79,2529.0,2537.0,2538.0
80,2538.0,2726.0,2529.0
81,2349.0,2160.0,2161.0
82,2349.0,2537.0,2529.0
83,2345.0,2529.0,2531.0
84,2349.0,2529.0,2343.0
85,1468.0,1406.0,1470.0
86,1469.0,1406.0,1288.0
87,1469.0,1648.0,1470.0
88,1470.0,1406.0,1469.0
89,1617.0,1437.0,1616.0
90,1617.0,1648.0,1469.0
91,1288.0,1437.0,1469.0
92,1469.0,1437.0,1617.0
93,1584.0,1406.0,1583.0
94,1584.0,1585.0,1407.0
95,1288.0,1406.0,1407.0
96,1407.0,1406.0,1584.0
97,1616.0,1437.0,1586.0
98,1407.0,1437.0,1288.0
99,1407.0,1585.0,1586.0
100,1586.0,1437.0,1407.0
101,1795.0,1797.0,1616.0
102,1795.0,1977.0,1978.0
103,1980.0,1797.0,1978.0
104,1978.0,1797.0,1795.0
105,2352.0,2165.0,2164.0
106,1980.0,1978.0,2165.0
107,1978.0,1977.0,2164.0
108,2164.0,2165.0,1978.0
109,2164.0,2163.0,2352.0
110,2164.0,1977.0,1976.0
111,2163.0,1976.0,1983.0
112,2164.0,1976.0,2163.0
113,1616.0,1797.0,1617.0
114,1796.0,1797.0,1980.0
115,1796.0,1648.0,1617.0
116,1617.0,1797.0,1796.0
117,1830.0,1979.0,2015.0
118,1830.0,1648.0,1796.0
119,1980.0,1979.0,1796.0
120,1796.0,1979.0,1830.0
121,1583.0,1406.0,1468.0
122,1470.0,1648.0,1649.0
123,1470.0,1647.0,1468.0
124,1649.0,1647.0,1470.0
125,2015.0,1829.0,1830.0
126,1649.0,1829.0,1647.0
127,1649.0,1648.0,1830.0
128,1830.0,1829.0,1649.0
129,1586.0,1585.0,1761.0
130,1762.0,1761.0,1945.0
131,1586.0,1762.0,1616.0
132,1761.0,1762.0,1586.0
133,2355.0,2167.0,2353.0
134,2165.0,2167.0,1980.0
135,2165.0,2352.0,2353.0
136,2353.0,2167.0,2165.0
137,2168.0,2167.0,2355.0
138,2168.0,2166.0,1981.0
139,1980.0,2167.0,1981.0
140,1981.0,2167.0,2168.0
141,2015.0,1979.0,2016.0
142,1981.0,1979.0,1980.0
143,2016.0,1979.0,2166.0
144,2166.0,1979.0,1981.0
145,2353.0,2543.0,2355.0
146,2353.0,2352.0,2541.0
147,2735.0,2543.0,2541.0
148,2541.0,2543.0,2353.0
149,2171.0,2359.0,2172.0
150,2352.0,2163.0,2172.0
151,1983.0,2171.0,2163.0
152,2172.0,2163.0,2171.0
153,2358.0,2359.0,2171.0
154,2360.0,2173.0,2359.0
155,2172.0,2173.0,2352.0
156,2359.0,2173.0,2172.0
157,2361.0,2547.0,2356.0
158,2352.0,2173.0,2356.0
159,2361.0,2173.0,2360.0
160,2356.0,2173.0,2361.0
161,2356.0,2547.0,2542.0
162,2541.0,2542.0,2735.0
163,2541.0,2352.0,2356.0
164,2356.0,2542.0,2541.0
165,2014.0,1829.0,2015.0
166,2014.0,2013.0,1828.0
167,1647.0,1829.0,1828.0
168,1828.0,1829.0,2014.0
169,1583.0,1468.0,1582.0
170,1467.0,1468.0,1647.0
171,1467.0,1580.0,1582.0
172,1582.0,1468.0,1467.0
173,1466.0,1646.0,1645.0
174,1466.0,1580.0,1467.0
175,1647.0,1646.0,1467.0
176,1467.0,1646.0,1466.0
177,1645.0,1646.0,1827.0
178,1828.0,1646.0,1647.0
179,1828.0,2013.0,1827.0
180,1827.0,1646.0,1828.0
181,2394.0,2205.0,2206.0
182,2016.0,2205.0,2015.0
183,2166.0,2206.0,2016.0
184,2206.0,2205.0,2016.0
185,2393.0,2205.0,2394.0
186,2392.0,2204.0,2393.0
187,2205.0,2204.0,2015.0
188,2393.0,2204.0,2205.0
189,2203.0,2013.0,2014.0
190,2015.0,2204.0,2014.0
191,2203.0,2204.0,2392.0
192,2014.0,2204.0,2203.0
193,1582.0,1758.0,1583.0
194,1582.0,1580.0,1756.0
195,1940.0,1758.0,1756.0
196,1756.0,1758.0,1582.0
197,1759.0,1584.0,1583.0
198,1759.0,1943.0,1760.0
199,1585.0,1584.0,1760.0
200,1760.0,1584.0,1759.0
201,1583.0,1758.0,1759.0
202,1942.0,1758.0,1940.0
203,1942.0,1943.0,1759.0
204,1759.0,1758.0,1942.0
205,2394.0,2206.0,2354.0
206,2354.0,2206.0,2166.0
207,2168.0,2355.0,2354.0
208,2354.0,2166.0,2168.0
209,2739.0,2743.0,2546.0
210,2355.0,2543.0,2546.0
211,2739.0,2543.0,2735.0
212,2546.0,2543.0,2739.0
213,2546.0,2743.0,2742.0
214,2545.0,2742.0,2741.0
215,2545.0,2355.0,2546.0
216,2546.0,2742.0,2545.0
217,2354.0,2544.0,2394.0
218,2354.0,2355.0,2545.0
219,2741.0,2544.0,2545.0
220,2545.0,2544.0,2354.0
221,2582.0,2581.0,2394.0
222,2582.0,2776.0,2775.0
223,2774.0,2581.0,2775.0
224,2775.0,2581.0,2582.0
225,2394.0,2544.0,2582.0
226,2740.0,2544.0,2741.0
227,2740.0,2776.0,2582.0
228,2582.0,2544.0,2740.0
229,2394.0,2581.0,2393.0
230,2774.0,2580.0,2581.0
231,2393.0,2580.0,2392.0
232,2581.0,2580.0,2393.0
233,2133.0,2320.0,2323.0
234,2324.0,2134.0,2323.0
235,1945.0,2133.0,2134.0
236,2323.0,2134.0,2133.0
237,2323.0,2509.0,2324.0
238,2323.0,2320.0,2506.0
239,2701.0,2509.0,2506.0
240,2506.0,2509.0,2323.0
241,2324.0,2509.0,2508.0
242,2704.0,2509.0,2701.0
243,2704.0,2703.0,2508.0
244,2508.0,2509.0,2704.0
245,2508.0,2322.0,2324.0
246,2508.0,2703.0,2507.0
247,2321.0,2322.0,2507.0
248,2507.0,2322.0,2508.0
249,1760.0,1761.0,1585.0
250,1760.0,1943.0,1944.0
251,1945.0,1761.0,1944.0
252,1944.0,1761.0,1760.0
253,2320.0,2133.0,2131.0
254,1944.0,2133.0,1945.0
255,1944.0,1943.0,2131.0
256,2131.0,2133.0,1944.0
257,2507.0,2351.0,2321.0
258,2507.0,2703.0,2536.0
259,2540.0,2351.0,2536.0
260,2536.0,2351.0,2507.0
261,2733.0,2732.0,2540.0
262,2732.0,2926.0,2919.0
263,2919.0,2725.0,2732.0
264,2733.0,2926.0,2732.0
265,2540.0,2731.0,2733.0
266,2925.0,2731.0,2734.0
267,2925.0,2926.0,2733.0
268,2733.0,2731.0,2925.0
269,2734.0,2731.0,2702.0
270,2536.0,2731.0,2540.0
271,2536.0,2703.0,2702.0
272,2702.0,2731.0,2536.0
273,1645.0,1644.0,1466.0
274,1465.0,1644.0,1643.0
275,1465.0,1580.0,1466.0
276,1466.0,1644.0,1465.0
277,1578.0,1755.0,1579.0
278,1756.0,1755.0,1940.0
279,1756.0,1580.0,1579.0
280,1579.0,1755.0,1756.0
281,1579.0,1464.0,1578.0
282,1579.0,1580.0,1465.0
283,1643.0,1464.0,1465.0
284,1465.0,1464.0,1579.0
285,2131.0,2319.0,2320.0
286,2131.0,1943.0,2130.0
287,2318.0,2319.0,2130.0
288,2130.0,2319.0,2131.0
289,2129.0,2127.0,2315.0
290,2129.0,1943.0,1942.0
291,1940.0,2127.0,1942.0
292,1942.0,2127.0,2129.0
293,2315.0,2317.0,2129.0
294,2130.0,2317.0,2318.0
295,2130.0,1943.0,2129.0
296,2129.0,2317.0,2130.0
297,2505.0,2504.0,2699.0
298,2320.0,2319.0,2505.0
299,2504.0,2319.0,2318.0
300,2505.0,2319.0,2504.0
301,2502.0,2317.0,2315.0
302,2502.0,2697.0,2503.0
303,2318.0,2317.0,2503.0
304,2503.0,2317.0,2502.0
305,2699.0,2504.0,2698.0
306,2503.0,2504.0,2318.0
307,2503.0,2697.0,2698.0
308,2698.0,2504.0,2503.0
309,1754.0,1755.0,1578.0
310,1754.0,1938.0,1939.0
311,1940.0,1755.0,1939.0
312,1939.0,1755.0,1754.0
313,2315.0,2127.0,2126.0
314,1939.0,2127.0,1940.0
315,1939.0,1938.0,2126.0
316,2126.0,2127.0,1939.0
317,2932.0,2743.0,2739.0
318,2735.0,2929.0,2739.0
319,2932.0,2929.0,3121.0
320,2739.0,2929.0,2932.0
321,2931.0,2737.0,2738.0
322,3121.0,2929.0,2931.0
323,2737.0,2929.0,2735.0
324,2931.0,2929.0,2737.0
325,2738.0,2737.0,2736.0
326,2735.0,2542.0,2737.0
327,2542.0,2547.0,2736.0
328,2736.0,2737.0,2542.0
329,2936.0,2743.0,2932.0
330,3121.0,3123.0,2932.0
331,2936.0,3123.0,3126.0
332,2932.0,3123.0,2936.0
333,2742.0,2743.0,2936.0
334,2936.0,3126.0,2935.0
335,2741.0,2742.0,2935.0
336,2935.0,2742.0,2936.0
337,1827.0,1826.0,1645.0
338,1827.0,2013.0,2012.0
339,2011.0,1826.0,2012.0
340,2012.0,1826.0,1827.0
341,1825.0,1644.0,1645.0
342,1825.0,2009.0,1824.0
343,1824.0,1643.0,1644.0
344,1824.0,1644.0,1825.0
345,1645.0,1826.0,1825.0
346,2010.0,1826.0,2011.0
347,2010.0,2009.0,1825.0
348,1825.0,1826.0,2010.0
349,2012.0,2013.0,2202.0
350,2390.0,2201.0,2202.0
351,2201.0,2011.0,2012.0
352,2202.0,2201.0,2012.0
353,2202.0,2013.0,2203.0
354,2392.0,2391.0,2203.0
355,2202.0,2391.0,2390.0
356,2203.0,2391.0,2202.0
357,3114.0,2927.0,3117.0
358,3114.0,2926.0,2925.0
359,2734.0,2927.0,2925.0
360,2925.0,2927.0,3114.0
361,3117.0,3311.0,3114.0
